ra,dec
247.28273,43.67173
245.71466,43.726209999999995
241.37653999999998,44.3357
240.9165,43.98957
240.88005,44.10985
244.48317999999998,44.2905
241.51961,44.69582
242.29612999999998,44.35883
239.49327999999997,43.96829
240.07258,43.76807
238.21761,44.40982
237.14432999999997,43.722840000000005
248.68965,43.0783
245.93591,43.537279999999996
245.47276000000002,43.55963
246.51248999999999,43.2863
246.24037,43.058840000000004
243.88821000000002,42.923759999999994
244.77355,41.97124
244.65932999999998,42.120309999999996
243.85392000000002,42.54287
244.63804,43.12177
244.08937000000003,42.383379999999995
244.33261000000002,42.11625
244.83857000000003,42.250440000000005
242.26142000000002,42.85745
242.36683,41.99975
242.46596,42.44639
243.19019,42.79479
242.58281000000002,43.018209999999996
243.29547999999997,42.373129999999996
240.30672,42.92068
241.41877999999997,42.21835
239.00728999999998,42.10483
239.46677999999997,42.31607
239.2824,42.15655
239.19808999999998,42.34912
240.07699,43.093709999999994
237.04376000000002,43.15677
236.74121,42.597229999999996
236.75292000000002,43.11593
237.73868,42.67511
237.08857999999998,43.40896
237.84732999999997,43.30572
236.28386,43.107690000000005
236.15271,42.64389
335.4147,2.83093
336.04273,3.0657200000000002
333.89999,2.75946
336.10598999999996,2.7117400000000003
332.94718,2.77124
343.23177999999996,1.58742
342.90722,2.61082
343.35033,2.3909
342.25145,2.00942
341.41875,1.98712
339.92208999999997,2.0276400000000003
340.69364,2.3879099999999998
340.71752000000004,2.68363
339.69764,2.32859
340.88182,1.8397299999999999
340.92888999999997,1.92642
339.69355,1.98803
338.43349,1.6271200000000001
338.89948,1.8255400000000002
339.01783,1.9051900000000002
335.74514,1.9000099999999998
335.89923,1.92389
338.2393,2.2806599999999997
337.99241,1.74163
335.49464,1.72602
336.74112,2.13135
334.8561,2.40637
335.22964,2.51816
334.18847,2.31803
333.9809,1.6682700000000001
334.43459,1.6755099999999998
332.42705,1.731
332.70631000000003,2.17187
332.16134,1.8922400000000001
332.28009,1.6393400000000002
331.08672,2.3566700000000003
331.24998,2.53322
342.98777,0.65122
330.87536,2.4973799999999997
330.93908,1.51807
343.35752,1.41373
343.40317999999996,1.2953299999999999
343.39287,1.31149
343.34147,1.1009799999999998
343.02442,0.99571
342.97649,1.14149
343.37474,0.90535
343.13252,0.84549
343.21609,1.2189
343.1601,1.23751
343.57142999999996,0.66408
343.56507999999997,0.51251
344.11402999999996,1.37319
341.77832,1.56095
342.02542,0.65
342.86139,0.9812
340.31799,0.62864
341.42325,0.51935
342.65076,1.19908
341.00455,0.67198
340.70183,1.06269
341.55062999999996,0.74758
341.15246,0.61873
339.22654,0.9342
339.03944,1.19902
339.31861000000004,1.13042
339.76821,0.70522
339.46317,0.52035
338.59727999999996,1.3233
338.85766,1.41234
338.75247,0.91817
338.38566000000003,1.4630299999999998
338.43935,1.4014
337.75556,1.07368
337.83317999999997,1.1144
337.7865,1.16509
338.70187999999996,1.2856299999999998
338.7858,1.17759
338.23251,0.83865
337.2985,1.56835
337.90081000000004,0.63155
338.36627000000004,0.60375
337.33437000000004,0.8713799999999999
336.82903,0.61253
335.76809,1.56474
335.42087999999995,0.57503
332.67052,0.9337799999999999
332.62089,1.52747
334.95738,0.94032
334.58232999999996,1.24724
333.61765,1.17154
344.16596,0.17659
343.50088999999997,0.28966
344.20923,0.3598
342.84404,0.03221
342.88489,-0.97057
342.97481,-0.36749
342.66092000000003,-1.01407
343.14929,-0.93422
343.15902,-1.0454
343.25282000000004,-0.66827
341.06342,-0.16355999999999998
341.13795,-1.08305
341.33173,-0.07025
341.45356,-0.8479700000000001
341.48595,0.01012
341.90176,0.32026
340.07532000000003,-0.50839
340.05496,-0.9503
339.84254,-0.85813
339.79296,-0.43861000000000006
340.25476000000003,-0.83047
340.16955,-0.6843600000000001
340.39931,0.23485999999999999
340.46021,-1.14204
340.80544,-0.91099
338.55005,0.32861999999999997
339.00261,-1.0961
337.3502,-1.03969
339.33029,0.26444
337.87192999999996,-1.11473
337.56546000000003,-0.40044
337.60309,-0.2078
338.00895,-0.9743299999999999
335.66846,-1.19173
335.89801,-0.67152
337.14358,0.30343000000000003
335.95333999999997,-0.8648600000000001
336.48503,-0.85877
336.78754,-0.78078
336.51724,0.42146000000000006
334.59352,-0.9935799999999999
334.65977999999996,-0.40939000000000003
335.31577000000004,-0.9718
335.29887,-0.93514
335.28833,-0.54075
334.12616,-0.41243
333.10666000000003,-0.76405
334.11843999999996,0.00059
334.10578,-0.62179
333.81164,-0.2518
333.09592000000004,-0.51813
332.21541,-1.1984700000000001
332.95762,0.26113000000000003
36.73831,-1.92195
37.249140000000004,-2.36691
35.75392,-1.8268099999999998
37.5163,-2.61987
39.00612,-2.4469
37.97668,-2.7902299999999998
38.67265,-2.68761
38.52483,-2.65257
37.69093,-1.7679099999999999
35.511379999999996,-2.65082
35.8279,-2.05708
34.93464,-1.99342
36.27899,-1.87425
36.25249,-2.52928
36.208079999999995,-2.8786400000000003
34.308370000000004,-1.97479
34.18806,-2.40234
33.46654,-2.37284
32.97209,-2.0535099999999997
32.83036,-2.24372
33.96771,-1.96206
32.08865,-2.39215
32.26811,-2.16483
32.6318,-2.8764
30.69727,-1.97203
31.102190000000004,-2.14213
30.65617,-1.9465700000000001
30.791940000000004,-2.74945
31.40602,-2.33898
28.9272,-3.10227
30.81677,-2.21937
29.018040000000003,-3.03785
31.106709999999996,-2.4864
29.39385,-1.95934
29.356820000000003,-2.48705
29.296429999999997,-2.17915
29.454859999999996,-2.829
29.12068,-2.7269900000000002
39.45112,-4.54421
29.702990000000003,-2.15501
28.957720000000002,-2.56895
39.40129,-4.62975
29.746640000000003,-1.8879
37.88327,-2.9754400000000003
37.69858,-2.96792
38.11177,-3.4230199999999997
37.28957,-3.25863
37.10237,-2.94921
37.03798,-3.13741
36.19941,-3.5175099999999997
35.94019,-3.64859
34.27163,-3.5611699999999997
34.17093,-3.5154199999999998
33.12404,-3.0312
32.76935,-2.98385
32.61332,-3.79085
32.83919,-3.64848
33.35983,-3.0706700000000002
32.23809,-3.26839
29.38265,-2.91627
29.5894,-2.953
29.17887,-3.50903
30.180529999999997,-3.3547300000000004
30.20144,-3.9090599999999998
29.84235,-3.18641
29.727009999999996,-3.33572
29.837190000000003,-3.29242
38.960840000000005,-4.9938199999999995
38.37947,-4.14898
37.68303,-4.60199
36.82575,-4.74147
36.46018,-4.4021
37.57071,-4.2154300000000005
36.67423,-4.07979
36.37673,-5.04815
36.3633,-4.96164
34.175090000000004,-4.70562
35.18785,-4.53235
31.6484,-4.92175
30.273459999999996,-4.8717
30.26618,-5.10157
28.95192,-4.66122
29.09872,-4.656280000000001
30.113529999999997,-4.5623
29.11985,-4.53059
29.18323,-4.52198
29.15509,-4.9070599999999995
39.44614,-6.7547
39.372040000000005,-6.6611899999999995
39.00356,-6.74693
39.14295,-6.6897
39.06565,-6.51291
38.96086,-6.04691
39.38754,-6.05048
39.48118,-6.25663
39.3262,-5.99174
40.02567,-6.44741
39.688190000000006,-6.89934
39.86103,-5.666180000000001
38.71351,-5.825419999999999
39.99796,-6.80455
39.69511,-6.23669
39.799609999999994,-5.71772
37.868809999999996,-6.0961
39.2678,-5.26596
38.315459999999995,-6.594989999999999
38.29381,-5.780930000000001
38.51385,-6.33839
36.34453,-6.82547
36.50578,-6.2914
36.24684,-6.6688600000000005
37.321329999999996,-6.41602
36.723620000000004,-6.29294
36.52391,-5.25631
36.97054,-6.41629
37.2788,-5.549169999999999
37.23321,-5.36786
36.58562,-5.337219999999999
36.33909,-5.5587
34.82608,-6.933260000000001
35.016659999999995,-6.5754600000000005
34.98101,-6.7205
34.95172,-6.7118899999999995
35.34326,-5.42328
35.36102,-5.43343
35.3498,-5.35893
35.3154,-5.5391699999999995
35.35374,-5.73281
35.44907,-5.65036
33.5917,-6.80532
34.64441,-6.20896
33.84203,-5.27461
33.81903,-6.42413
34.70364,-6.765389999999999
34.685140000000004,-6.66907
34.670970000000004,-6.874210000000001
34.34471,-5.49559
32.56948,-6.6003
32.43018,-6.84363
33.08616,-6.31078
32.9563,-6.4720699999999995
32.31839,-6.3951400000000005
32.272890000000004,-6.30735
32.7751,-5.15336
32.8396,-6.5369
32.82931,-6.47049
32.61469,-5.974419999999999
32.58805,-5.9701900000000006
32.7514,-6.722389999999999
32.709790000000005,-6.59894
32.37441,-5.79684
31.366090000000003,-6.3017199999999995
31.59058,-6.39757
31.632890000000003,-6.2975699999999994
30.994809999999998,-5.55959
32.003640000000004,-6.28043
29.51758,-6.06877
29.60135,-6.2916099999999995
29.944740000000003,-6.78977
29.901290000000003,-6.61598
30.268359999999998,-6.746110000000001
30.263,-6.68032
30.214890000000004,-6.95317
30.348740000000003,-6.82286
30.347170000000002,-6.796139999999999
30.41362,-5.76874
30.517129999999998,-6.92962
30.46177,-6.672910000000001
30.532059999999998,-6.62505
30.677559999999996,-6.76474
30.47352,-5.64659
29.184759999999997,-5.90797
29.59924,-5.63899
30.187359999999998,-5.4375800000000005
30.305790000000002,-5.44573
30.0205,-5.30609
141.28089,3.7348
141.2251,4.54324
30.39038,-5.55386
140.29861,4.23076
140.38243,4.2397800000000005
139.61361000000002,4.27492
139.88733,4.93473
140.13768000000002,4.934740000000001
136.78461000000001,4.42192
138.72607,4.673780000000001
138.77761,4.9782
137.27301,4.99524
137.45623999999998,4.5991599999999995
137.35901,4.70066
136.20533999999998,4.80317
135.54593,4.99386
140.61426,3.08561
140.67161000000002,3.13841
140.57941,4.0149300000000006
140.11032,4.03641
137.74178999999998,3.75587
138.42168999999998,3.5192300000000003
137.05858999999998,3.33178
137.00458,3.18664
134.54987,3.27172
135.01916,3.3547599999999997
134.93929,3.4185
135.07948000000002,3.7053
135.58651,3.35975
135.84653,3.27561
136.0129,3.6233699999999995
135.76217,3.4840400000000002
139.27042,2.27685
135.68986999999998,3.29475
140.04261,2.0930400000000002
138.009,2.01032
138.85153,2.68656
137.16495,2.4860700000000002
137.33918,1.8279599999999998
136.84538999999998,1.8879400000000002
135.39095,2.33731
135.4432,2.76131
131.59013000000002,2.5914900000000003
131.60235,2.22306
131.83591,2.44377
131.91974,2.50075
131.82191,1.9024
130.28211000000002,2.6065099999999997
131.04395,2.74723
131.36096,2.29089
130.94103,1.7931599999999999
128.80787,1.78699
129.38488,2.67582
224.37304,1.51566
129.93958,1.85705
224.43042000000003,1.3551600000000001
224.56241,0.83429
224.81162,1.3004799999999999
224.90972999999997,1.4851299999999998
225.03557,1.52852
225.3396,1.5513
224.6763,1.47896
224.94305,0.7215600000000001
224.57265,0.68943
225.22842999999997,1.34171
225.13866000000002,1.38024
225.16543,1.38568
224.96732999999998,1.0843
224.99742,1.1673
225.40892000000002,0.99811
225.31179,0.80777
225.53224,1.51575
225.18662999999998,1.0447
225.16526000000002,1.0842100000000001
223.38797000000002,0.9304
225.51756,1.1269200000000001
223.97444,1.2743200000000001
224.2118,1.35491
223.39552999999998,0.79952
224.27476000000001,1.05654
222.97362,1.04635
222.37736,0.74647
220.61787,1.53062
220.6865,1.36425
220.57242999999997,1.7174599999999998
220.85034,0.95119
221.0351,1.65313
219.35755,1.72623
220.13222000000002,0.65296
218.56033,1.55756
218.52255,1.5424200000000001
218.43592,0.6484
218.47286,0.75158
218.40061,0.65765
218.63906,0.87941
217.06534,1.12437
217.15161,0.76617
216.86667999999997,1.3376700000000001
216.92102000000003,1.4169200000000002
217.8427,1.16116
217.7987,1.23522
215.28278999999998,0.88507
214.2801,1.14947
214.58347,0.86621
214.51972999999998,0.82034
215.05829,0.72697
212.4991,1.46997
211.73497999999998,0.7861600000000001
212.48932000000002,1.28639
211.82066,1.3270600000000001
211.28127999999998,1.0512299999999999
210.42379,1.1582299999999999
210.40874,1.1782700000000002
209.66313,1.2397799999999999
209.90252999999998,0.79174
182.83971,1.11493
183.4025,0.6911
181.43976,1.42841
181.38681,1.56405
182.96393,0.75137
181.88401000000002,1.39916
181.92431000000002,1.5087899999999999
182.7744,0.9267
181.93255,1.17211
182.26476,0.68105
182.37332,1.2417200000000002
181.73684,1.08792
181.69401000000002,1.13418
181.63121,1.48069
181.62501,1.5563200000000001
182.02981,0.8679899999999999
182.04158999999999,0.92176
182.50014,0.65732
182.59943,0.8922700000000001
182.12903,1.08241
181.57298,1.6967400000000001
181.36293,1.50535
181.27864,1.55298
180.65442,1.5075
181.14,1.41592
181.17025,1.4506299999999999
181.1644,1.49052
180.64886,1.21609
180.64837,1.3346799999999999
181.18193,1.62182
181.16721,1.64595
181.33561,1.63029
181.21067,1.7201400000000002
181.31075,1.7693
182.35978,0.99831
181.62553,1.60353
181.69453000000001,1.63626
181.36302,1.05655
180.77082,1.2757
181.03878,1.25475
181.19275,1.29839
181.03273000000002,1.32156
181.14237,1.3612
179.783,0.76922
178.28024,1.12705
178.68122,1.6521
139.94011,0.7965800000000001
139.94203000000002,0.82221
139.99668,0.81462
140.2327,1.50086
140.19351,1.50889
140.05397,1.07969
139.98148,1.12327
140.02181000000002,0.92645
140.27667,0.93599
140.80601000000001,1.51114
140.64682,1.52314
139.35555,0.91394
139.73086999999998,1.75158
139.76776,1.34789
139.6889,1.38456
137.37502,0.9433
137.34482,1.2962
136.49992,0.73517
134.62358,1.56892
133.64059,1.53814
133.87655,0.84565
133.52668,1.57166
134.47395,1.24522
133.7665,1.7086700000000001
132.65296999999998,1.16896
132.77468000000002,0.71941
133.37563,1.0172
132.69678000000002,1.6085200000000002
130.85154,1.3257700000000001
133.36389,0.67932
131.77733999999998,1.32873
131.82033,1.6224299999999998
132.0542,1.50735
131.82789,0.64808
129.76488999999998,1.1662
129.97111999999998,1.07513
129.93892,1.7423400000000002
129.94676,1.7446700000000002
128.35592,0.55107
128.24455,1.31211
128.84165,0.68592
129.13029,1.41208
128.75648,0.9345899999999999
129.39664,1.75665
128.09421,0.9526899999999999
129.20003,1.3568799999999999
128.95622,0.8966799999999999
129.2524,1.66467
225.17713999999998,0.28217
225.65436,0.26249
225.99334,0.37906
223.96094,-0.30325
223.97668,-0.06631000000000001
223.64822999999998,0.46091000000000004
223.07732000000001,-0.25647
223.45927999999998,0.4092
221.12148,-0.11847
221.6778,-0.175
221.67866,0.0016600000000000002
221.21793,0.38556999999999997
221.90519,-0.46198999999999996
219.96202999999997,0.35308
219.9292,-0.27716
220.73708,0.28051
220.73802,0.63279
218.87511,-0.31134
218.71547,0.48858
217.4679,-0.30041999999999996
217.52261000000001,-0.04898
219.43235,0.26966
217.4104,0.2987
214.64201,-0.03644
214.78906,0.06874
215.23966000000001,-0.21729
215.71667000000002,-0.14462
215.02072,-0.43583
215.16844,0.52862
214.04008,-0.38892
213.48169,-0.30926
214.40608999999998,0.57635
212.4358,0.013059999999999999
214.52185,0.30894
214.42901,0.32789
212.78377999999998,0.59499
211.66692999999998,0.1474
211.65332999999998,0.06548
211.57207999999997,0.62945
183.52278,0.28854
182.37821,-0.04736
182.33783,0.57082
181.68805,-0.03236
180.73212,-0.19888
180.02033,-0.31101999999999996
180.16753,0.5636399999999999
180.14343,-0.28881999999999997
180.07221,0.56201
180.24077,0.0819
180.27698999999998,0.24284
180.50413999999998,0.42028000000000004
180.72552,-0.04515
179.86838999999998,-0.30595
178.96171999999999,0.08158
177.14416,0.46474
178.05776,0.07028
177.89011000000002,0.10899
141.79016000000001,0.5393600000000001
141.40223999999998,-0.36996999999999997
175.52458000000001,0.35283000000000003
140.62505,0.1315
140.82955,-0.42723999999999995
140.67256,-0.33516
139.44935,-0.23190999999999998
139.64423,-0.22619
139.68884,0.40039
139.82383000000002,0.63012
138.98763,0.63054
138.33241999999998,0.28624
137.20168,0.30976
135.45786999999999,0.51483
135.45609,0.33612
134.05681,0.36205
134.56675,-0.46063999999999994
135.07231000000002,-0.05214
134.6101,0.00607
134.46077,-0.22319
133.54967,-0.1659
132.81382,0.25798000000000004
131.94981,-0.40069
132.15517,-0.78377
131.93782,-0.36866
130.65196,-0.58144
131.2228,-0.26183
131.25923,-0.22134
131.12991,0.11139
128.47116,-0.39016999999999996
129.5397,-0.19462000000000002
129.07095,-0.5145
129.37055,-0.053720000000000004
129.91676,-0.3362
129.14032,0.49563
224.72632000000002,-1.01272
225.0093,-0.80635
224.65565,-1.1024399999999999
223.21141,-2.0364
223.05836000000002,-1.98489
224.3296,-1.49892
223.81185,-1.57471
223.98678999999998,-1.4502
223.61467000000002,-1.1842700000000002
222.2508,-1.53652
221.85644,-0.55652
221.86612999999997,-0.50941
222.31267000000003,-0.7021
221.02652999999998,-1.8911200000000001
221.36319,-1.9806099999999998
221.39317000000003,-2.01136
220.02776,-1.02093
220.1928,-0.73468
220.42882000000003,-0.65752
217.87568,-1.5318399999999999
220.31956,-0.59283
217.96066000000002,-1.9155799999999998
219.68941,-0.7057399999999999
218.49037,-1.60944
218.63293,-1.92327
217.05006,-1.60481
217.78703,-1.77414
216.67459,-1.8560900000000002
217.22371,-1.18825
215.73797000000002,-1.44183
216.18462000000002,-0.57631
215.5347,-1.04267
216.33096,-0.53363
216.52469,-0.88328
216.4032,-1.11333
214.06865,-0.77198
214.21672,-1.7317
214.44252999999998,-0.7226199999999999
215.08497999999997,-0.91989
215.25437999999997,-1.00231
213.70087,-2.01198
212.76521,-1.0167
213.74246000000002,-0.75327
211.84843999999998,-1.58651
211.6399,-1.98053
213.47579,-0.99518
211.82478999999998,-1.50363
212.57084,-0.56958
212.43188999999998,-1.8588799999999999
212.11651,-1.7811099999999997
210.08597000000003,-1.43943
210.62758,-1.42941
210.89845,-1.52893
210.71007999999998,-1.8003099999999999
211.17487000000003,-1.37425
211.12331,-1.24559
211.05977000000001,-1.22611
210.2366,-1.20905
211.2851,-0.64735
211.32197000000002,-0.82699
211.26518,-0.69855
210.47471000000002,-1.34291
209.51398999999998,-1.54389
209.71475,-0.8911600000000001
210.04731,-0.8052699999999999
183.16556,-0.8165
182.3007,-1.88665
180.7459,-1.6722400000000002
180.72677,-1.6679599999999999
180.63334,-1.62229
180.66471,-1.87156
180.647,-1.84528
180.14571999999998,-1.38846
180.41871,-1.20433
180.34447,-1.1871
178.84663,-1.5331299999999999
179.75552,-1.8056599999999998
181.23154,-0.6956600000000001
179.01481,-1.48386
179.83068,-1.69147
179.56968,-1.4892100000000001
179.63351,-1.85789
179.93148,-0.77271
179.22214,-1.78247
179.46929,-2.09282
179.46345,-2.07622
179.3738,-1.26795
179.39688,-1.56429
177.35035,-1.88913
177.36173,-1.5155399999999999
177.36283,-1.43255
177.33508999999998,-1.41282
179.58276999999998,-1.12761
178.47972,-0.76043
178.22427,-1.24357
178.27558,-1.19994
176.1778,-0.9715299999999999
176.1407,-0.8667799999999999
175.93983,-1.27667
141.76349,-0.86877
142.00141000000002,-0.70827
140.58431000000002,-0.5161100000000001
141.16293000000002,-0.6561899999999999
140.92221,-0.93815
139.53382,-2.11821
139.35276000000002,-0.50643
136.16162,-1.19166
136.02962,-1.16544
136.04015,-0.55187
134.89921,-1.95773
135.5476,-1.9641400000000002
135.77223999999998,-0.54173
134.99801000000002,-1.16317
245.22077000000002,43.30284
